"source_file","page","list_title","document_notes","location_group","section","producer","item","ano","qty","posicion","raw_line"
"tasca fina 18 de febrero.pdf","2","tasca fina 18 de febrero","","","BLANCOS NACIONALES","","Ossian","2022","2","","Ossian | 2022 | 2"
"tasca fina 18 de febrero.pdf","2","tasca fina 18 de febrero","","","BLANCOS NACIONALES","","Ossian Capitel","2022","1","CAV 3 - 2 CEN","Ossian Capitel | 2022 | 1 | CAV 3 - 2 CEN"
"tasca fina 18 de febrero.pdf","2","tasca fina 18 de febrero","","","BLANCOS NACIONALES","","Otro cuento","2023","2","CAV 4 - 2 CEN","Otro cuento | 2023 | 2 | CAV 4 - 2 CEN"
"tasca fina 18 de febrero.pdf","2","tasca fina 18 de febrero","","","BLANCOS NACIONALES","","Pago de los abuelos Teiró","2022","1","CAV 4 - 0 DER","Pago de los abuelos Teiró | 2022 | 1 | CAV 4 - 0 DER"
"tasca fina 18 de febrero.pdf","2","tasca fina 18 de febrero","","","BLANCOS NACIONALES","","Pazo Señorans","2015","1","CAV 4 - 1 DER","Pazo Señorans | 2015 | 1 | CAV 4 - 1 DER"
"tasca fina 18 de febrero.pdf","2","tasca fina 18 de febrero","","","BLANCOS NACIONALES","","Qué bonito cacareaba","2023","1","CAV 4 - 0 DER","Qué bonito cacareaba | 2023 | 1 | CAV 4 - 0 DER"
"tasca fina 18 de febrero.pdf","2","tasca fina 18 de febrero","","","BLANCOS NACIONALES","","Remelluri blanco","2022","1","CAV 3 - 0 DER","Remelluri blanco | 2022 | 1 | CAV 3 - 0 DER"
"tasca fina 18 de febrero.pdf","2","tasca fina 18 de febrero","","","BLANCOS NACIONALES","","Remirez de Ganuza blanco","2016","2","CAV 3 - 3 CEN","Remirez de Ganuza blanco | 2016 | 2 | CAV 3 - 3 CEN"
"tasca fina 18 de febrero.pdf","2","tasca fina 18 de febrero","","","BLANCOS NACIONALES","","San Roman Malvasía","2022","2","CAV 2 - 6 CEN","San Roman Malvasía | 2022 | 2 | CAV 2 - 6 CEN"
"tasca fina 18 de febrero.pdf","2","tasca fina 18 de febrero","","","BLANCOS NACIONALES","","Sin nombre","2022","1","CAV 4 - 0 CEN","Sin nombre | 2022 | 1 | CAV 4 - 0 CEN"
