pod,descripcion,ano,bodega_produtor,unidades_bodega,localizacion_bodega
POD012516,Pierre Morey Bourgogne BL 22-,2022,Pierre Morey,3,CAVA 7 · BALDA 8 · IZQ
POD012524,Vincent Girardin Meursault Perrieres 22-,2022,Vincent Girardin,1,CAVA 7 · BALDA 6 · IZQ
POD012527,Vincent Girardin Puligny 1C Combettes 22-,2022,Vincent Girardin,2,CAVA 8 · BALDA 6 · CEN
POD012532,Chandon Briailles 1C Vergelesses 22-,2022,Chandon de Briailles,3,CAVA 4 · BALDA 3 · DER
POD012537,Magnien Gevrey 1C Lavaux St Jacques 22-,2022,Henri Magnien,2,CAVA 4 · BALDA 1 · DER
POD012538,Magnien Corton Lolieres 22-,2022,Henri Magnien,3,CAVA 5 · BALDA 6 · DER
POD012565,Cavallotto Barolo Riserva San Giuseppe 18-,2018,Cavalotto,6,CAVA 9 · BALDA 4 · IZQ
POD012659,Eisele Vineyard Sauvignon BL 21-,2021,Eisele Vineyard,3,CAVA 8 · BALDA 1 · CEN
POD012715,Girardin Corton Charlemagne 22-,2022,Vincent Girardin,3,CAVA 8 · BALDA 4 · DER
POD013287,Drouhin Beaune 1C Clos de Mouches BL 22-,2022,Joseph Drouhin,4,CAVA 4 · BALDA 4 · IZQ
POD013304,Vincent Girardin Gevrey Chambertin VV 22-,2022,Vincent Girardin,4,CAVA 4 · BALDA 4 · CEN
POD013317,Clos des Papes Chateauneuf du Pape BL 23-,2023,Clos des Papes,4,CAVA 10 · BALDA 4 · B
POD013318,Clos des Papes Chateauneuf du Pape TO 22-,2022,Clos des Papes,0,CAVA 6 · BALDA 4 · A
POD013341,Chateau Chamirey 1C La Mission 22-,2022,Château Chamirey,3,CAVA 10 · BALDA 4 · D
POD013366,G Mascarello Barolo Monprivato 19-,2019,Giuseppe  Mascarello,3,CAVA 9 · BALDA 5 · E
POD013427,Mg Arnaud Ente Meursault 19-,2019,Domaine Arnaud Ente,2,CAVA 7 · BALDA 5 · E
POD013434,Vogue Musigny Grand Cru 2021-,2021,Comte Georges de Vögué,3,CAVA 5 · BALDA 5 · C / CAVA 8 · BALDA 5 · A
POD014266,Jadot Volnay 1C Clos de la Barre 21-,2021,Louis Jadot,3,CAVA 4 · BALDA 2 · IZQ
POD014760,Pelissero Vanotu 16-,2016,Pelissero,3,CAVA 9 · BALDA 6 · IZQ
POD015244,Jadot Corton Charlemagne 22-,2022,Louis Jadot,6,CAVA 8 · BALDA 4 · IZQ
POD015245,Jadot Volnay 1C Clos de la Barre 22-,2022,Louis Jadot,3,CAVA 4 · BALDA 3 · DER
POD015311,Cascina delle Rosse Barbera Alba 21-,2021,Cascina delle Rose,3,CAVA 9 · BALDA 3 · IZQ
POD015786,Screaming Eagle The Flight 20-,2020,Screaming Eagle,3,CAVA 4 · BALDA 3
POD015787,Screaming Eagle Sauvignon Blanc 20-,2020,Screaming Eagle,1,CAVA 4 · BALDA 2
POD015903,Valentini Trebbiano D’ Abruzzo 20-,2020,Valentini,2,CAVA 10 · BALDA 7 · IZQ
POD015938,Arnaud Ente Bourgogne BL 20-,2020,Domaine Arnaud Ente,3,CAVA 7 · BALDA 8 · DER
POD015939,Arnaud Ente Meursault 20-,2020,Arnaud Ente,2,CAVA 7 · BALDA 5 · E
POD015942,Mg Meursault Seve du Clos VV 20-,2020,Arnaud Ente,6,CAVA 7 · BALDA 5 · B / CAVA 7 · BALDA 5 · D
POD015947,Benoit Ente Puligny 1C Clos de la Trufiere 22-,2022,Benoit Ente,3,CAVA 8 · BALDA 1 · DER
POD016056,Mg Solaia 20-,2020,Antinori,3,CAVA 12 · BALDA 3 · CEN
POD016388,Massetino 19-,2019,Masseto,1,CAVA 11 · BALDA 2 · IZQ
POD016398,Racines Santa Rita Hills Chardonnay 20-,2020,Racines Wine,6,CAVA 8 · BALDA 3 · IZQ
POD016399,Racines Santa Rita Hills Chardonnay 22-,2022,Racines,3,CAVA 8 · BALDA 3 · DER
POD016407,De Montille Corton Clos du Roi 22-,2022,Domaine de Montille,2,CAVA 5 · BALDA 4 · DER
POD016410,De Montille Volnay Les Taillepieds 22-,2022,Domaine de Montille,3,CAVA 4 · BALDA 5 · D
POD016414,Chapoutier Le Meal 10-,2010,M. Chapoutier,2,CAVA 10 · BALDA 5 · IZQ
POD016429,Pavillon Blanc de Ch Margaux 17 BL-,2017,Château Margaux,1,CAVA 10 · BALDA 4 · E
POD016555,Rougeot St Romain Combe Bazin 22-,2022,Domaine Rougeot,3,CAVA 7 · BALDA 7 · IZQ
