source_file,producer,item,ano_raw,best_pod,best_score,final_pod,final_kind,reason
resto_francia.pdf,Henri Bonneau,Châteauneuf-du-Pape ‘Cuvée Marie Beurrier’,2016,POD016703,0.6884,POD016703,existing_pod,score_ok_no_conflict
resto_francia.pdf,M. Chapoutier,Châteauneuf-du-Pape ‘Barbe Rac’,2008,POD011828,0.6742,POD011828,existing_pod,score_ok_no_conflict
resto_francia.pdf,M. Chapoutier,Côte-Rôtie ‘Vieilles Vignes’,2022,POD017826,0.6976,POD017826,existing_pod,score_ok_no_conflict
resto_francia_italia_blancos.pdf,Château Fuissé,Blanc,2020,POD010654,0.494,POD_TEMP_BM2_0080,temp_pod,low_score
resto_francia_italia_blancos.pdf,Brand et Fils,L’Oeillet (Le Litre),—,POD004085,0.48,POD_TEMP_BM2_0081,temp_pod,low_score
resto_francia_italia_blancos.pdf,Caciorgna,Guardoilvento,2022,POD012580,0.5138,POD_TEMP_BM2_0082,temp_pod,low_score
resto_francia_italia_blancos.pdf,Château Smith Haut Lafitte,Blanc,2022,POD017981,0.5698,POD_TEMP_BM2_0083,temp_pod,low_score
resto_francia_italia_blancos.pdf,Fides (Crimorgat),Blanc,2018,POD010021,0.4241,POD_TEMP_BM2_0084,temp_pod,low_score
resto_francia_italia_blancos.pdf,Filippi,Foglio 1,2023,POD019795,0.5352,POD_TEMP_BM2_0085,temp_pod,low_score
resto_francia_italia_blancos.pdf,Guicciardini Strozzi,Hermitage Blanc,2017,POD011185,0.2986,POD_TEMP_BM2_0086,temp_pod,low_score
resto_francia_italia_blancos.pdf,La Croisée des Chenins,Blanc,2017,POD015096,0.385,POD_TEMP_BM2_0087,temp_pod,low_score
resto_francia_italia_blancos.pdf,T. Di Paolo,Fiano di Avellino ‘Campore Riserva’,2019,POD018439,0.467,POD_TEMP_BM2_0088,temp_pod,low_score
resto_francia_italia_blancos.pdf,Taittinger,Hermitage Blanc,2022,POD_TEMP_1010,0.5123,POD_TEMP_BM2_0089,temp_pod,low_score
resto_francia_italia_blancos.pdf,COS,Pithos Bianco,2023,POD019652,0.6798,POD019652,existing_pod,score_ok_no_conflict
resto_francia_italia_blancos.pdf,Château Fuissé,Tête de Cuvée,2022,POD013339,0.69,POD013339,existing_pod,score_ok_no_conflict
resto_francia_italia_blancos.pdf,Marchesi di Barolo,Roero Arneis,2023,POD019793,0.6791,POD019793,existing_pod,score_ok_no_conflict
resto_francia_italia_blancos.pdf,Tenuta delle Terre Nere,Calderara Sottana (Blanc),2023,POD018790,0.6379,POD_TEMP_BM2_0090,temp_pod,low_score
resto_francia_italia_blancos.pdf,Trimbach,Riesling,2017,POD012872,0.66,POD012872,existing_pod,score_ok_no_conflict
usa_y_sudafrica_TO.pdf,Besson Frères,Pinot Noir,2022,POD019206,0.6224,POD_TEMP_BM2_0091,temp_pod,low_score
usa_y_sudafrica_TO.pdf,Salem Wine Co.,Chardonnay,2021,POD016403,0.5124,POD_TEMP_BM2_0092,temp_pod,low_score
usa_y_sudafrica_TO.pdf,Ceritas,Chardonnay – Sonoma County,2022,POD018347,0.5658,POD_TEMP_BM2_0093,temp_pod,low_score
usa_y_sudafrica_TO.pdf,La Source,Chardonnay,2023,POD019757,0.4251,POD_TEMP_BM2_0094,temp_pod,low_score
usa_y_sudafrica_TO.pdf,Seven Springs,Chardonnay,2022,POD013303,0.4603,POD_TEMP_BM2_0095,temp_pod,best_pod_conflict
usa_y_sudafrica_TO.pdf,Seven Springs,Pinot Noir,2022,POD017478,0.4855,POD_TEMP_BM2_0096,temp_pod,low_score
usa_y_sudafrica_TO.pdf,Shafer,TD-9 Cabernet Sauvignon – Napa Valley,2021,POD017503,0.4709,POD_TEMP_BM2_0097,temp_pod,low_score
usa_y_sudafrica_TO.pdf,Sine Qua Non,Testa dei Cherubini Grenache,2024,POD018029,0.4626,POD_TEMP_BM2_0098,temp_pod,low_score
usa_y_sudafrica_TO.pdf,Spioenkop,1900 – Pinotage,2020,POD013053,0.4107,POD_TEMP_BM2_0099,temp_pod,low_score
