page,y,name,ano,qty,pos,compact_loc
36,267.5,Tr3smano,2021,2,CAV 4 - 7 CEN,4·7·CEN
36,253.0,V.O.,2022,2,CAV 1 - 12 IZQ,1·12·IZQ
36,238.5,Valbuena 5to año,2020,2,CAV 3 - SUELO IZQ,3·SUELO·IZQ
36,224.0,Valenciso Reserva,2019,2,CAV 3 - 9 CEN,3·9·CEN
36,195.0,Vega Sicilia Unico,2015,2,CAV 1 - EXP DER,1·EXP·DER
36,180.5,Venus de la figuera,2020,1,CAV 1 - 12 DER,1·12·DER
36,166.0,Vereda de Tórdigas Rico Nuevo,2020,2,CAV 1 - 6 DER,1·6·DER
36,151.5,Viariz,2023,2,CAV 1 - SUELO IZQ,1·SUELO·IZQ
36,137.0,Viña Ardanza Reserva,2019,2,CAV 3 - 7 IZQ,3·7·IZQ
36,122.5,Viña Tondonia,2012,2,CAV 3 - 7 CEN,3·7·CEN
36,108.0,Viña Tondonia GR,2004,2,CAV 3 - EXP B CEN,3·EXP·B_CEN
38,760.5,Allegrini Valpolicella Classico Superiore,2023,2,CAV 1 - 8 IZQ,1·8·IZQ
38,745.5,Armand Rousseau Clos de Bèze GC,2014,1,CAV 3 - 4A IZQ,3·4A·IZQ
38,730.0,Armand Rousseau G. Chambertin 1cru St Jacques,2020,1,CAV 1 - EXP CEN,1·EXP·CEN
38,715.0,Chateau Rayas,2011,1,CAV 3 - 4A DER,3·4A·DER
38,699.5,Domaine De Montille Bourgogne,2023,2,CAV 1 - 7 CEN,1·7·CEN
38,684.5,Domaine Ponsot Clos de la Roché GC VV,2023,1,CAV 1 - EXP CEN,1·EXP·CEN
38,669.0,DRC Echézeaux,2019,1,CAV 3 - 4A CEN,3·4A·CEN
38,654.0,DRC Grands Échézeaux,2019,1,CAV 3 - 4A CEN,3·4A·CEN
38,638.5,DRC Romanée Saint Vivant GC,2011,1,CAV 3 - 4A CEN,3·4A·CEN
38,623.5,DRC Vosne-Romanée 1er Cru,2019,1,CAV 3 - 4A CEN,3·4A·CEN
38,608.0,Emmanuel Rouget Cros Parantoux 1er Cru,2019,1,CAV 3 - 4A IZQ,3·4A·IZQ
38,593.0,Ferdinando Principiano Langhe,2023,2,CAV 1 - 7 DER,1·7·DER
38,577.5,Frederic Mugnier Musigny GC,2014,1,CAV 3 - 4A IZQ,3·4A·IZQ
38,562.5,Herve Souhaut Souteronne 23,,2,CAV 1 - 7 DER,1·7·DER
38,547.0,Jean Grivot Richebourg GC,2022,1,CAV 1 - EXP IZQ,1·EXP·IZQ
38,532.0,Mark Haisma Bourgogne,2023,1,CAV 3 - 4A DER,3·4A·DER
38,516.5,Mark Haisma Chambolle - Musigny,2023,1,CAV 3 - 4A DER,3·4A·DER
38,501.5,Mark Haisma Pommard,2023,1,CAV 3 - 4A DER,3·4A·DER
38,486.0,Marquis D´Alesme,,2,CAV 1 - 7 CEN,1·7·CEN
38,471.0,Poeirinho,2022,2,CAV 1 - 8 IZQ,1·8·IZQ
38,455.5,Polígonos San Pablo,2022,2,CAV 1 - 8 DER,1·8·DER
38,440.5,Potensac,,2,CAV 1 - 7 IZQ,1·7·IZQ
38,425.0,Richard Kershaw Smugler´s Boot,,2,CAV 1 - 8 CEN,1·8·CEN
38,410.0,Savage Follow the Line,2023,2,CAV 1 - 8 CEN,1·8·CEN
38,394.5,Sylvain Cathiard Aux Malconsorts 1er Cru,1999,1,CAV 3 - 4A IZQ,3·4A·IZQ
40,760.5,Emilio Hidalgo Fino La Panesa,,2,JAMONES,JAM
40,745.5,La Riva Manzanilla Fina Miraflores,NV,2,JAMONES,JAM
40,730.0,Santa Petronila Fino Flor de Macharnudo,,2,CAV 2 - 1 DER,2·1·DER
40,699.5,Viña Corrales,2023,2,JAMONES,JAM
40,669.0,Emilio Hidalgo Amontillado Fino Tresillo,,1,JAMONES,JAM
40,654.0,Santa Petronila Amontillado en Rama,NV,2,CAV 2 - 1 DER,2·1·DER
40,638.5,Tradición Amontillado VORS,,2,JAMONES,JAM
40,608.0,Emilio Hidalgo Oloroso Villapanes,,1,JAMONES,JAM
40,593.0,Tradición Oloroso VORS,,2,JAMONES,JAM
40,562.5,Emilio Hidalgo Palo Cortado Marqués de Rodil,,2,JAMONES,JAM
40,547.0,Tradición Palo Cortado VORS,,2,JAMONES,JAM
40,516.5,Niepoort Vintage,2022,1,JAMONES,JAM
40,440.5,Quinta da Corte Tawny 20 años,NV,1,JAMONES,JAM
40,410.0,Van Zellers Tawny 10 años,NV,1,JAMONES,JAM
40,394.5,Van Zellers Tawny 30 años,,1,JAMONES,JAM
40,364.0,Attis Sitta Pereiras,2023,3,CAV 2 - EXP INT IZQ,2·EXP·INT
40,349.0,Molino real 50Cl,2015,1,CAV 2 - EXP INT DER,2·EXP·INT
40,334.0,Oremus Tokaji 5 Puttonyos,2017,1,JAM / CAV 2 - 1 CEN,2·1·CEN
40,318.5,Toro Albalá Don PX,2023,1,JAMONES,JAM
40,303.5,Toro Albalá Don PX Gran Reserva,2003,1,JAMONES,JAM
40,273.0,Finca Dofí 37'5cl,2023,2,CAV 1 - EXP IZQ,1·EXP·IZQ
40,257.5,La nieta 37'5cl,2023,2,CAV 1 - EXP CEN,1·EXP·CEN
40,242.5,Roda I 50Cl,2017,2,CAV 1 - EXP IZQ,1·EXP·IZQ
40,227.0,Sitta Pereiras 50Cl,2023,3,CAV 3 - 2 CEN,3·2·CEN
40,196.5,Alabaster MAGNUM,2022,1,CAV 4 - SUELO CEN,4·SUELO·CEN
40,181.5,Artadi la poza de Ballesteros MAGNUM,2022,1,CAV 4 - SUELO IZQ,4·SUELO·IZQ
40,166.0,Cartago MAGNUM,2019,1,CAV 4 - SUELO CEN,4·SUELO·CEN
40,151.0,Finca Dofí MAGNUM,2022,1,CAV 4 - SUELO IZQ,4·SUELO·IZQ
40,135.5,Las Lamas MAGNUM,2021,1,CAV 4 - SUELO DER,4·SUELO·DER
40,120.5,Viña Ardanza MAGNUM,2019,1,CAV 4 - SUELO DER,4·SUELO·DER
