orden,excel_row,tipo,cava,area,balda,linea,sublinea,es_checklist,entrada_sin_checkbox,vino_sin_cantidad,cantidad,cantidad_raw,nota_post_cantidad,texto_excel,item_id,item_part,item_total_parts,item_entrada_completa,item_vino_sin_cantidad_completo,item_cantidad,item_cantidad_raw,item_nota_post_cantidad
65,77,ITEM,CAVA B,,BALDA 2,,,False,Mestres Coquet Cava x1,Mestres Coquet Cava,1,x1,,Mestres Coquet Cava x1,I0051,1,1,Mestres Coquet Cava x1,Mestres Coquet Cava,1,x1,
66,78,ITEM,CAVA B,,BALDA 2,,,False,Perrier Jouet Belle Epoque 2014 x2,Perrier Jouet Belle Epoque 2014,2,x2,,Perrier Jouet Belle Epoque 2014 x2,I0052,1,1,Perrier Jouet Belle Epoque 2014 x2,Perrier Jouet Belle Epoque 2014,2,x2,
67,79,ITEM,CAVA B,,BALDA 2,,,False,Louis Roederer Collection x3,Louis Roederer Collection,3,x3,,Louis Roederer Collection x3,I0053,1,1,Louis Roederer Collection x3,Louis Roederer Collection,3,x3,
68,81,BALDA,CAVA B,,BALDA 3,,,,,,,,,BALDA 3,,,,,,,,
69,82,ITEM,CAVA B,,BALDA 3,,,False,Abadía da Cova Pedras Líquidas x3,Abadía da Cova Pedras Líquidas,3,x3,,Abadía da Cova Pedras Líquidas x3,I0054,1,1,Abadía da Cova Pedras Líquidas x3,Abadía da Cova Pedras Líquidas,3,x3,
70,83,ITEM,CAVA B,,BALDA 3,,,False,Meursault Vieilles Vignes 2023 Vicent Girardin x2,Meursault Vieilles Vignes 2023 Vicent Girardin,2,x2,,Meursault Vieilles Vignes 2023 Vicent Girardin x2,I0055,1,1,Meursault Vieilles Vignes 2023 Vicent Girardin x2,Meursault Vieilles Vignes 2023 Vicent Girardin,2,x2,
71,84,ITEM,CAVA B,,BALDA 3,,,False,La Otea Pue Franco 2023 x2,La Otea Pue Franco 2023,2,x2,,La Otea Pue Franco 2023 x2,I0056,1,1,La Otea Pue Franco 2023 x2,La Otea Pue Franco 2023,2,x2,
72,86,BALDA,CAVA B,,BALDA 4,,,,,,,,,BALDA 4,,,,,,,,
73,87,ITEM,CAVA B,,BALDA 4,,,False,Sitta Ancestros 2016 x2,Sitta Ancestros 2016,2,x2,,Sitta Ancestros 2016 x2 ,I0057,1,1,Sitta Ancestros 2016 x2,Sitta Ancestros 2016,2,x2,
74,88,ITEM,CAVA B,,BALDA 4,,,False,"Clos des Goisses , Philipponnat Extra Brut 2015 x1","Clos des Goisses , Philipponnat Extra Brut 2015",1,x1,,"Clos des Goisses , Philipponnat Extra Brut 2015 x1 ",I0058,1,1,"Clos des Goisses , Philipponnat Extra Brut 2015 x1","Clos des Goisses , Philipponnat Extra Brut 2015",1,x1,
75,89,ITEM,CAVA B,,BALDA 4,,,False,Attis NANA 2023 x2,Attis NANA 2023,2,x2,,Attis NANA 2023 x2,I0059,1,1,Attis NANA 2023 x2,Attis NANA 2023,2,x2,
76,90,ITEM,CAVA B,,BALDA 4,,,False,Attis CORIBANTE 2022 x1,Attis CORIBANTE 2022,1,x1,,Attis CORIBANTE 2022 x1,I0060,1,1,Attis CORIBANTE 2022 x1,Attis CORIBANTE 2022,1,x1,
77,91,ITEM,CAVA B,,BALDA 4,,,False,Racines Sta. Rita Hills  Grand Reseve x1,Racines Sta. Rita Hills  Grand Reseve,1,x1,,Racines Sta. Rita Hills  Grand Reseve x1,I0061,1,1,Racines Sta. Rita Hills  Grand Reseve x1,Racines Sta. Rita Hills  Grand Reseve,1,x1,
78,92,ITEM,CAVA B,,BALDA 4,,,False,Billecart Salmón Rose x2,Billecart Salmón Rose,2,x2,,Billecart Salmón Rose x2,I0062,1,1,Billecart Salmón Rose x2,Billecart Salmón Rose,2,x2,
79,93,BALDA,CAVA B,,BALDA 5,,,,,,,,,BALDA 5,,,,,,,,
80,95,ITEM,CAVA B,,BALDA 5,,,False,"Pol Roger, Winston Churchill 2018 x4","Pol Roger, Winston Churchill 2018",4,x4,,"Pol Roger, Winston Churchill 2018 x4",I0063,1,1,"Pol Roger, Winston Churchill 2018 x4","Pol Roger, Winston Churchill 2018",4,x4,
81,96,ITEM,CAVA B,,BALDA 5,,,False,Jacquesson 747 Extra Brut x2,Jacquesson 747 Extra Brut,2,x2,,Jacquesson 747 Extra Brut x2,I0064,1,1,Jacquesson 747 Extra Brut x2,Jacquesson 747 Extra Brut,2,x2,
82,97,ITEM,CAVA B,,BALDA 5,,,False,Belondrade Les Parcelles 2019 x2,Belondrade Les Parcelles 2019,2,x2,,Belondrade Les Parcelles 2019 x2,I0065,1,1,Belondrade Les Parcelles 2019 x2,Belondrade Les Parcelles 2019,2,x2,
83,99,BALDA,CAVA B,,BALDA 6,,,,,,,,,BALDA 6,,,,,,,,
